,Name,Date Of Birth,Country,Number_100m,Number_50m
154,"AZEVEDO, Rafaela Gomes",2002,POR,1:01.32,29.76
155,"ZOFKOVA, Carlotta",1993,ITA,1:01.45,29.68
156,"DRAKOU, Theodora",1992,GRE,1:01.51,29.50
157,"MENSING, Jenny",1986,GER,1:01.52,29.81
158,"SALCUTAN, Tatiana",2001,MDA,1:01.64,30.17
159,"NAZIEBLO, Klaudia",1993,POL,1:01.77,29.28
160,"TEIJONSALO, Fanny",1996,FIN,1:01.82,29.54
161,"GRABOWSKI, Lena",2002,AUT,1:01.82,29.76
162,"MAZUTAITYTE, Ugne",1997,LTU,1:01.93,30.00
163,"SZABO FELTOTHY, Eszter",2002,HUN,1:01.99,30.43
164,"DENIZLI, Sudem",2005,TUR,1:02.07,30.58
165,"WILSON, Alicia",2000,GBR,1:02.07,29.81
166,"ZEVINA, Daryna",1994,UKR,1:02.23,30.05
167,"SZILAGYI, Gerda",2003,HUN,1:02.28,30.05
168,"BARZELAY, Aviv",2002,ISR,1:02.29,29.94
169,"ROSVALL, Hanna",2000,SWE,1:02.32,30.44
170,"PRADELL CARRASCO, Mireia",1995,ESP,1:02.33,29.96
171,"SMITS, Jade",2001,BEL,1:02.56,30.33
172,"OEZTUERK, Sonnele",1998,GER,1:02.94,30.45
173,"BERNAT, Laura",2005,POL,1:03.02,30.91
174,"PILHATSCH, Caroline",1999,AUT,1:03.05,30.12
175,"SEGEL, Janja",2001,SLO,1:03.19,30.28
176,"SACHA, Ioanna",1999,GRE,1:03.78,30.37
177,"EMINOVA BLAZEVSKA, Mia",2005,MKD,1:04.59,31.21
178,"JOENSEN, Signhild",2000,FAR,1:04.72,31.01
179,"MARUSAKOVA, Emma",2003,SVK,1:05.26,31.39
180,"KRSTEVSKA, Mia",2001,MKD,1:05.52,31.61
181,"IVAN, Teresa",2003,SVK,1:05.76,31.51
182,"BEQIRI, Jona",2006,KOS,1:10.98,34.23
183,"DAWSON, Kathleen",1997,GBR,58.18,27.99
184,"TOUSSAINT, Kira",1994,NED,59.02,28.34
185,"KAMENEVA, Maria",1999,RUS,59.13,28.77
186,"PANZIERA, Margherita",1995,ITA,59.65,28.88
187,"WILD, Cassie",2000,GBR,59.82,28.87
188,"FESIKOVA, Anastasia",1990,RUS,1:00.33,29.01
189,"WAARD de, Maaike",1996,NED,1:00.33,29.06
190,"HANSSON, Louise",1996,SWE,1:02.29,30.59
191,"DAWSON, Kathleen",1997,GBR,58.08,28.23
192,"KAMENEVA, Maria",1999,RUS,59.47,29.12
193,"SHKURDAI, Anastasiya",2003,BLR,59.53,28.98
194,"PANZIERA, Margherita",1995,ITA,59.71,29.06
195,"TOUSSAINT, Kira",1994,NED,59.76,28.45
196,"COLEMAN, Michelle",1993,SWE,1:00.00,28.92
197,"JALLOW, Mimosa",1994,FIN,1:00.47,28.57
198,"TOUSSAINT, Kira",1994,NED,59.51,28.52
199,"SHKURDAI, Anastasiya",2003,BLR,1:00.14,29.42
200,"FESIKOVA, Anastasia",1990,RUS,1:00.25,29.19
201,"JALLOW, Mimosa",1994,FIN,1:00.41,28.87
202,"WILD, Cassie",2000,GBR,1:00.47,29.32
203,"KOST, Nina",1995,SUI,1:00.85,29.11
204,"KUBOVA (BAUMRTOVA), Simona",1991,CZE,1:01.00,29.81
205,"HILL, Danielle",1999,IRL,1:01.07,29.90
206,"AVRAMOVA, Ekaterina",1991,TUR,1:01.25,29.77
207,"CINI, Mathilde",1994,FRA,1:01.27,29.68
208,"ZAMORANO SANZ, Africa",1998,ESP,1:01.48,30.02
209,"SCALIA, Silvia",1995,ITA,1:01.65,29.28
210,"SOERENSEN, Karoline",2002,DEN,1:02.29,29.83
211,"ROSVALL, Hanna",2000,SWE,1:02.70,29.86
212,"SMITS, Jade",2001,BEL,1:02.78,30.09
213,"NYIRADI, Reka",2004,HUN,1:02.80,30.53
214,"PILHATSCH, Caroline",1999,AUT,1:03.05,29.96
215,"BAIKOVA, Arina",2000,LAT,1:03.11,30.79
216,"SEGEL, Janja",2001,SLO,1:03.44,30.55
217,"MARUSAKOVA, Emma",2003,SVK,1:04.20,30.60
